no,hvdc_code,mr#,commercial_invoice_no.,invoice_date,po_no.,vendor,category,main_description_(po),sub_description,incoterms,currency,invoice_value__(a),freight__(b),insurance__(c),cif_value__(a+b+c),coe,pol,pod,b/l_no./__awb_no.,vessel_name/__flight_no.,vessel_imo_no.,shipping_line,forwarder,ship__mode,pkg,20dc,40dc,40hq,45hq,20ot(in),20ot(oh),40ot(in),40ot(oh),20fr(in),40fr(in),20fr(fv),40fr(ow),"20fr(ow,oh)","40fr(ow,oh)","40fr(ow,ol)",lcl,qty_of_cntr,g_bulk,o_bulk,h_bulk,gwt__(kg),cbm,r/t__(grand-_total),a_cwt(kg),etd,atd,eta,ata,attestation__date,do_collection,customs__start,customs__close,custom__code,duty_amt__(aed),vat_amt__(aed),shu,mir,das,agi,dsv__indoor,dsv__outdoor,dsv__mzd,jdn__mzd,jdn__waterfront,mosb,aaa_storage,zener_(wh),hauler_dg_storage,vijay_tanks,delivery_date
117,HVDC-ADOPT-HE-0107,E01,PRL-MIR-005-O2,2024-02-29 00:00:00,4572116646,Hitachi,Elec,Main Converter,Converter AC Bus Spare,DAP,SEK,228710.0,1208.61,22871.01,252789.62,SWEDEN,Gothenburg,Khalifa port,GOT36800100-002,Magleby Maersk / MSC Luciana,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0.0,,,,685.0,3.41888,3.41888,,2024-02-29,2024-02-29,2024-05-04,2024-05-04,2024-03-11,2024-05-06,2024-05-08,45420.0,47150.0,,,,,,,,,,,,2024-06-10,,,,,2024-06-10
118,HVDC-ADOPT-HE-0101,E01,PRL-ZAK-008-O,2024-03-14 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Transducer,DAP,SEK,6696409.6,17510.08,669640.96,7383560.64,SWEDEN,Gothenburg,Khalifa port,GOT36800096,MSC Luciana,,MSC,Scan Global Logistics AB,C,16,,,1.0,,,,,,,,,,,,,,1.0,,,,3920.0,25.794,25.794,,2024-03-14,2024-03-14,2024-05-04,2024-05-04,2024-03-14,2024-05-09,2024-05-09,45421.0,47150.0,202567.0,212694.0,,,,,2024-05-11,2024-05-11,,,,,,,,,2024-05-11
119,HVDC-ADOPT-HE-0102,E01,PRL-CS-003-O,2024-03-14 00:00:00,4572116646,Hitachi,Elec,Main Converter,Optical Transducer (Spare),DAP,SEK,4185256.0,20545.55,418525.6,4624327.15,SWEDEN,Gothenburg,Khalifa port,GOT36800097,MSC Luciana,,MSC,Scan Global Logistics AB,C,20,,,,,,,,,,,,,,,,,0.0,,,,2748.0,18.076,18.076,,2024-03-14,2024-03-14,2024-05-04,2024-05-04,2024-03-14,2024-05-09,2024-05-09,45421.0,47150.0,,,2024-11-20,2025-08-08,2025-05-29 00:00:00,,2024-05-11,,,,,2025-05-20,,,,,2024-05-11
120,HVDC-ADOPT-HE-0108,E01,PRL-CS-005-O1,2024-03-18 00:00:00,4572116646,Hitachi,Elec,Main Converter,RC Voltage Divider,DAP,EUR,3031781.42,105759.3,303178.14,3440718.86,GERMANY,Antwerp,Khalifa port,GOT36800077-001,Magleby Maersk,,MAERSK,Scan Global Logistics AB,C,54,,,,,,,9.0,,,,,,,,,,9.0,,,,40740.0,323.9,323.9,,2024-03-10,2024-03-10,2024-04-15,2024-04-15,2024-03-21,2024-04-17,2024-04-18,45400.0,47150.0,764809.0,803049.0,2025-06-16,,2025-05-30 00:00:00,,2024-05-01,,,,,2025-05-26,,,,,2024-05-01
121,HVDC-ADOPT-HE-0109,E01,PRL-CS-005-O2 Spare,2024-03-21 00:00:00,4572116646,Hitachi,Elec,Main Converter,"RC Voltage Divider, Corona Ring Spare",DAP,EUR,414520.29,17626.54,41452.03,473598.86,GERMANY,Antwerp,Khalifa port,GOT36800077-002,Magleby Maersk,,MAERSK,Scan Global Logistics AB,C,9,,,,,,,1.0,,,,,,,,,,1.0,,,,4670.0,37.1,37.1,,2024-03-10,2024-03-10,2024-04-15,2024-04-15,2024-03-21,2024-04-17,2024-04-18,45400.0,47150.0,,,2025-06-16,,2025-05-30 00:00:00,,2024-04-22,,,,,2025-05-26,,,,,2024-04-22
122,HVDC-ADOPT-PPL-0014,E02,HVDC-ADOPT-PPL-0014,2024-03-14 00:00:00,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable (up to 96 fibres),CIF,EUR,36400.0,1920.0,380.0,38700.0,GERMANY,Hamburg,Khalifa port,237468392,Ane Maersk,,MAERSK,Trans Global,C,1,,,,,1.0,,,,,,,,,,,,1.0,,,,8045.0,21.548,21.548,,2024-03-29,2024-03-29,2024-05-06,2024-05-06,2024-04-12,2024-05-06,2024-05-07,45419.0,47150.0,0.0,7663.0,,,,,,,,2024-05-08,,,,,,,2024-05-08
123,HVDC-ADOPT-HE-0110,E01,"PRL-MIR-008-O4, O5",2024-03-29 00:00:00,4572116646,Hitachi,Elec,Main Converter,Transformer Units & Accessories,DAP,SEK,111779569.6,899307.4,11177956.96,123856833.9,BRAZIL,Itaguai,Mina Zayed,GOT37000008,BBC Sapphire,,BBC,Scan Global Logistics AB,B,48,,,,,,,,,,,,,,,,,0.0,,,,546212.0,736.032,736.032,,2024-04-01,2024-04-01,2024-05-09,2024-05-09,2024-04-13,2024-05-07,2024-05-08,45420.0,47150.0,2102817.0,2207957.0,,,,,2024-05-10,2024-06-09,,,,,,,,,2024-05-10
124,HVDC-ADOPT-HE-0116,E01,PRL-SHU-010-OS,2024-04-09 00:00:00,4572116646,Hitachi,Elec,Main Converter,Transformer Units & Accessories,DAP,SEK,173379719.6,734772.38,17337971.96,191452463.9,SWEDEN,Uddelvalla,Mugharraq,GOT37000007,BBC Africa,,BBC,Scan Global Logistics AB,B,95,,,,,,,,,,,,,,,,,0.0,,,,926998.0,1436.98,1436.98,,2024-04-02,2024-04-02,2024-05-23,2024-05-23,2024-04-15,2024-05-22,2024-05-23,45435.0,47150.0,3278203.0,3442112.0,2025-01-16,,,,2024-05-23,2024-06-13,,,,,,,,,2024-05-23
125,HVDC-ADOPT-HE-0093,E01,PRL-CS-006-O1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,120205.24,9330.98,12020.52,141556.74,GERMANY,Antwerp,Khalifa port,GOT36800098-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,17,,,1.0,,,,,,,,,,,,,,1.0,,,,7306.0,41.88,41.88,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-07,45419.0,47150.0,0.0,32137.0,2025-07-18,,2025-04-21 00:00:00,,,2024-05-10,,,,,,,,,2024-05-10
126,HVDC-ADOPT-HE-0094,E01,PRL-CS-006-O2 Spare,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,16257.94,2901.06,1625.79,20784.79,GERMANY,Antwerp,Khalifa port,GOT36800098-002,MSC Luciana,,MSC,Scan Global Logistics AB,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,889.0,5.93,5.93,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-07,45419.0,47150.0,0.0,,,,2025-04-21 00:00:00,,,2024-05-10,,,,,,,,,2024-05-10
127,HVDC-ADOPT-HE-0095,E01,PRL-SHU-009-O1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,42370.26,2778.96,4237.08,49386.3,GERMANY,Antwerp,Khalifa port,GOT36800078-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,3,,,1.0,,,,,,,,,,,,,,1.0,,,,3338.0,18.6,18.6,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-08,45420.0,47150.0,0.0,28097.0,2024-06-15,,,,,,,,,,,,,,2024-06-15
128,HVDC-ADOPT-HE-0096,E01,PRL-SHU-009-O2 Spare,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,8397.02,2305.53,839.7,11542.25,GERMANY,Antwerp,Khalifa port,GOT36800078-002,MSC Luciana,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0.0,,,,447.0,3.2,3.2,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-08,45420.0,47150.0,0.0,,2024-06-15,,,,,,,,,,,,,,2024-06-15
129,HVDC-ADOPT-HE-0097,E01,PRL-MIR-009-O1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,59434.77,2778.96,5943.47,68157.2,GERMANY,Antwerp,Khalifa port,GOT36800099-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,3,,,,,,,,,,,,,,,,,0.0,,,,1624.0,18.6,18.6,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-08,45420.0,47150.0,0.0,,,2024-06-12,,,,,,,,,,,,,2024-06-12
130,HVDC-ADOPT-HE-0098,E01,PRL-MIR-009-O2 Spare,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase Current Limiting Reactors, Supprt Insulator",DAP,EUR,9582.77,2305.53,958.27,12846.57,GERMANY,Antwerp,Khalifa port,GOT36800099-002,MSC Luciana,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0.0,,,,517.0,2.791,2.791,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-15,2024-05-06,2024-05-08,45420.0,47150.0,0.0,,,2024-06-12,,,,,,,,,,,,,2024-06-12
131,HVDC-ADOPT-HE-0115,E01,PRL-MIR-007-O1 Lot 1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,Single Phase HVDC Filter Reactors,DAP,EUR,59831.0,2526.32,5983.1,68340.42,GERMANY,Antwerp,Khalifa port,GOT36800104,MSC Luciana,,MSC,Scan Global Logistics AB,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,5204.0,56.88,56.88,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-07,2024-05-08,45420.0,47150.0,0.0,14537.0,,2024-06-12,,,,,,,,,,,,,2024-06-12
132,HVDC-ADOPT-HE-0117,E01,PRL-SHU-007-O2 Spare Lot 2,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,Spare Insulator,DAP,EUR,3486.52,1257.9,348.65,5093.07,GERMANY,Antwerp,Khalifa port,GOT36800105,MSC Luciana,,MSC,Scan Global Logistics AB,C,1,,,,,,,,,,,,,,,,,0.0,,,,118.0,0.218,0.218,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-07,2024-05-08,45420.0,47150.0,,,2024-06-15,,,,,,,,,,,,,,2024-06-15
133,HVDC-ADOPT-HE-0120,E01,PRL-MIR-007-O1 Lot 2,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,Insulator,DAP,EUR,59831.0,2526.32,5983.1,68340.42,GERMANY,Antwerp,Khalifa port,GOT36800106-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,3840.0,5.93,5.93,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-06,2024-05-08,45420.0,47150.0,2929.0,56683.0,,2024-06-12,,,,,,,,,,,,,2024-06-12
134,HVDC-ADOPT-HE-0121,E01,PRL-MIR-007-O2 Spare,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase HVDC Filter Reactors, Insulator",DAP,EUR,8725.32,2526.32,872.53,12124.17,GERMANY,Antwerp,Khalifa port,GOT36800106-002,MSC Luciana,,MSC,Scan Global Logistics AB,C,3,,,,,,,,,,,,,,,,,0.0,,,,789.0,6.58,6.58,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-06,2024-05-08,45420.0,47150.0,,,,2024-06-12,,,,,,,,,,,,,2024-06-12
135,HVDC-ADOPT-HE-0123,E01,PRL-SHU-007-O2 Spare Lot 1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase HVDC Filter Reactors, Insulator",DAP,EUR,6973.04,2515.8,697.3,10186.14,GERMANY,Antwerp,Khalifa port,GOT36800086-002,MSC Luciana,,MSC,Scan Global Logistics AB,C,2,,,1.0,,,,,,,,,,,,,,1.0,,,,609.0,4.8,4.8,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-06,2024-05-08,45420.0,47150.0,,,2024-06-15,,,,,,,,,,,,,,2024-06-15
136,HVDC-ADOPT-HE-0122,E01,PRL-SHU-007-O1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Single Phase HVDC Filter Reactors, Insulator",DAP,EUR,151658.32,10063.2,15165.83,176887.35,GERMANY,Antwerp,Khalifa port,GOT36800086-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,8468.0,54.198,54.198,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-06,2024-05-08,45420.0,47150.0,,,2024-06-15,,,,,,,,,,,,,,2024-06-15
137,HVDC-ADOPT-HE-0124,E01,PRL-SHU-006-O1,2024-03-27 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Commutating DC Switches, Insulator",DAP,EUR,14794.62,1786.63,1479.46,18060.71,GERMANY,Antwerp,Khalifa port,GOT36800086-001,MSC Luciana,,MSC,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0.0,,,,185.0,1.16,1.16,,2024-03-27,2024-03-27,2024-05-04,2024-05-04,2024-04-18,2024-05-06,2024-05-08,45420.0,47150.0,,,2024-06-15,,,,,,,,,,,,,,2024-06-15
138,HVDC-ADOPT-HE-0099,E01,PRL-SHU-014-O1,2024-04-30 00:00:00,4572116646,Hitachi,Elec,Main Converter,DC Cables Discharger Resistor,DAP,SEK,846046.76,239396.35,84604.68,1170047.79,SWEDEN,Antwerp,Khalifa port,GOT36800079-001,MSC MARIE,,MSC,Scan Global Logistics AB,C,2,,,1.0,,,,,,,,,,,,,,1.0,,,,2760.0,38.9025,38.9025,,2024-04-30,2024-04-30,2024-06-07,2024-06-07,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,0.0,32595.0,2025-07-08,,,,2024-06-14,,,,,,,,,,2024-06-14
139,HVDC-ADOPT-HE-0100,E01,PRL-SHU-014-O2 Spare,2024-04-30 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare DC Cables Discharger Resistor, Composite Insulator",DAP,SEK,413887.62,239396.35,41388.76,694672.73,SWEDEN,Antwerp,Khalifa port,GOT36800079-002,MSC MARIE,,MSC,Scan Global Logistics AB,C,2,,,1.0,,,,,,,,,,,,,,1.0,,,,1375.0,19.62675,19.62675,,2024-04-30,2024-04-30,2024-06-07,2024-06-07,2024-05-19,2024-06-08,2024-06-11,45454.0,47150.0,,,2025-07-08,,,,2024-06-14,,,,,,,,,,2024-06-14
140,HVDC-ADOPT-HE-0114,E01,PRL-CS-007-O1 Lot 1,2024-04-30 00:00:00,4572116646,Hitachi,Elec,Main Converter,Single Phase Filter Reactor,DAP,EUR,120016.52,7243.63,12001.65,139261.8,GERMANY,Antwerp,Khalifa port,GOT36800103,MSC MARIE,,MSC,Scan Global Logistics AB,C,8,,,,,,,,,,2.0,,,,,,,2.0,,,,13108.0,139.81,139.81,,2024-04-30,2024-04-30,2024-06-07,2024-06-07,2024-05-19,2024-06-08,2024-06-11,45454.0,47150.0,,27423.0,,,2025-05-28 00:00:00,,,2024-06-14,,,,,,,,,2024-06-14
141,HVDC-ADOPT-HE-0118,E01,PRL-CS-007-O1 Lot 2,2024-04-30 00:00:00,4572116646,Hitachi,Elec,Main Converter,Insulator,DAP,EUR,120016.52,3145.27,12001.65,135163.44,GERMANY,Antwerp,Khalifa port,GOT36800087-001,MSC MARIE,,MSC,Scan Global Logistics AB,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,9910.0,13.565334,13.565334,,2024-04-30,2024-04-30,2024-06-07,2024-06-07,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,0.0,38475.0,,,2025-07-26 00:00:00,,,2024-06-13,,,,2025-06-13,,,,,2024-06-13
142,HVDC-ADOPT-HE-0119,E01,PRL-CS-007-O2 SPARE,2024-04-30 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Spare Single Phase HVDC Filter Reactor, Insulator",DAP,EUR,49208.91,5864.63,4920.89,59994.43,GERMANY,Antwerp,Khalifa port,GOT36800087-002,MSC MARIE,,MSC,Scan Global Logistics AB,C,6,,,,,,,,,,,,,,,,,0.0,,,,2105.0,20.939,20.939,,2024-04-30,2024-04-30,2024-06-07,2024-06-07,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,,,,,2025-06-17 00:00:00,,,2024-06-13,,,,2025-06-13,,,,,2024-06-13
143,HVDC-ADOPT-HE-0111,E01,PRL-MIR-002-O1 Lot 1,2024-05-02 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Sheilds, Conductor, Holders, Pipes, Insulator",DAP,SEK,27516888.0,906750.16,2751688.8,31175326.96,SWEDEN,Gothenburg,Khalifa port,GOT36800101,HAMBURG MAERSK,,MAERSK,Scan Global Logistics AB,C,84,,,19.0,,,,,,,,,,,,,,19.0,,,,76822.0,952.06653,952.06653,,2024-05-02,2024-05-02,2024-06-09,2024-06-09,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,542665.0,569798.0,,2024-06-28,,,,,,,,,,,,,2024-06-28
144,HVDC-ADOPT-HE-0112,E01,PRL-MIR-002-O2 Lot 1,2024-05-02 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Serpentine, Light Guides, Cooling, Draining",DAP,SEK,18344592.0,197347.18,1834459.2,20376398.38,SWEDEN,Gothenburg,Khalifa port,GOT36800102,HAMBURG MAERSK,,MAERSK,Scan Global Logistics AB,C,56,,,6.0,,,,,,,,,,,,,,6.0,,,,16234.0,231.432936,231.432936,,2024-05-02,2024-05-02,2024-06-09,2024-06-09,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,354689.0,372423.0,,2025-08-08,,,2024-06-13,,,,,,,,,,2024-06-13
145,HVDC-ADOPT-HE-0125,E01,PRL-SHU-015-O1,2024-05-02 00:00:00,4572116646,Hitachi,Elec,Main Converter,Wallbushings,DAP,SEK,15127567.06,532865.14,1512756.71,17173188.91,SWEDEN,Gothenburg,Khalifa port,GOT36800108-001,HAMBURG MAERSK,,MAERSK,Scan Global Logistics AB,C,38,,,12.0,,,,,,,,,,,,,,12.0,,,,34920.0,256.770764,256.770764,,2024-05-02,2024-05-02,2024-06-09,2024-06-09,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,353943.0,371639.0,2024-06-25,,,,,,,,,,,,,,2024-06-25
146,HVDC-ADOPT-HE-0126,E01,PRL-SHU-015-O2 Spare,2024-05-02 00:00:00,4572116646,Hitachi,Elec,Main Converter,Spare Wallbushings,DAP,SEK,2388563.22,532865.14,238856.32,3160284.68,SWEDEN,Gothenburg,Khalifa port,GOT36800108-002,HAMBURG MAERSK,,MAERSK,Scan Global Logistics AB,C,6,,,,,,,,,,,,,,,,,0.0,,,,5070.0,37.195715,37.195715,,2024-05-02,2024-05-02,2024-06-09,2024-06-09,2024-05-20,2024-06-08,2024-06-11,45454.0,47150.0,,,2024-06-25,,,,,,,,,,,,,,2024-06-25
147,HVDC-ADOPT-SIM-0002,E04-1,477QGP51776727,2024-03-20 00:00:00,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,High Voltage Surge Arrestor,CIF,EUR,,,,94200.0,GERMANY,Hamburg,Khalifa port,STRA59754,HORSBURGH Maersk,,MAERSK,DANMAR LINES,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,6725.0,34.56,34.56,,2024-05-04,2024-05-04,2024-06-10,2024-06-10,2024-05-28,2024-06-13,2024-06-14,45457.0,47150.0,18658.0,19591.0,2024-06-24,2024-06-24,,,,,,,,,,,,,2024-06-24
148,HVDC-ADOPT-HE-0113,E01,PRL-MIR-002-O Lot 2,2024-05-09 00:00:00,4572116646,Hitachi,Elec,Main Converter,Top Part Installation,DAP,SEK,15723936.0,968907.71,1572393.6,18265237.31,SWEDEN,Gothenburg,Khalifa port,GOT36800107,EDITH MAERSK,,MAERSK,Scan Global Logistics AB,C,48,,,,,,,,,,8.0,,,,,,,8.0,,,,49920.0,625.65696,625.65696,,2024-05-09,2024-05-09,2024-06-18,2024-06-18,2024-05-20,2024-06-19,2024-06-20,45463.0,47150.0,321624.0,337705.0,,2024-07-03,,,,,,,,,,,,,2024-07-03
149,HVDC-ADOPT-HE-0145,E01,PRL-MIR-002-O Lot 5,2024-05-09 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Sheilds, Pipes, Connector, Corona Rings",DAP,SEK,25551396.0,253816.6,2555139.6,28360352.2,SWEDEN,Gothenburg,Khalifa port,GOT36800111,EDITH MAERSK,,MAERSK,Scan Global Logistics AB,C,78,,,16.0,,,,,,,,,,,,,,16.0,,,,58101.0,474.451249,474.451249,,2024-05-09,2024-05-09,2024-06-18,2024-06-18,2024-05-20,2024-06-20,2024-06-21,45464.0,47150.0,499011.0,523961.0,,2024-07-12,,,,,,,,,,,,,2024-07-12
150,HVDC-ADOPT-HE-0142,E01,PRL-MIR-002-O Lot 3,2024-05-09 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,DAP,SEK,62385332.4,374243.25,6238533.24,68998108.89,SWEDEN,Gothenburg,Khalifa port,GOT36800109,EDITH MAERSK,,MAERSK,Scan Global Logistics AB,C,30,,,10.0,,,,,,,,,,,,,,10.0,,,,150000.0,438.8322555,438.8322555,,2024-05-09,2024-05-09,2024-06-18,2024-06-18,2024-05-20,2024-06-20,2024-06-21,45464.0,47150.0,1214046.0,1274748.0,,2025-08-06,,,2024-06-29,,,,,,,,,,2024-06-29
151,HVDC-ADOPT-HE-0146,E01,PRL-MIR-002-O Lot 4,2024-05-09 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,DAP,SEK,149724797.8,898183.8,14972479.78,165595461.3,SWEDEN,Gothenburg,Khalifa port,GOT36800112,EDITH MAERSK,,MAERSK,Scan Global Logistics AB,C,72,,,24.0,,,,,,,,,,,,,,24.0,,,,360000.0,1053.21677,1053.21677,,2024-05-09,2024-05-09,2024-06-18,2024-06-18,2024-06-20,2024-06-19,2024-06-20,45463.0,47150.0,2915888.0,3061682.0,,2025-08-06,,,2024-06-24,,,,,,,,,,2024-06-24
152,HVDC-ADOPT-SEI-0003,E03,HVDC-ADOPT-SEI-0003,2024-05-30 00:00:00,5000684244,Sumitomo,Elec,400kV HVDC Cable System,DAS Land and Spare Cable,CIF,JPY,,,,250393774.0,JAPAN,Kobe,Khalifa port,KKLUCVK1000766,California Highway,,K Line,,B,7,,,,,,,,,,,,,,,,,0.0,,,,160605.0,270.719,270.719,,2024-05-06,2024-05-06,2024-06-20,2024-06-20,2024-06-18,2024-06-20,2024-06-22,45465.0,47150.0,288792.0,303231.0,,,,,,,,2024-06-28,,,,,,,2024-06-28
153,HVDC-ADOPT-HE-0128,E01,PRL-DAS-005-O2 Lot 1 Spare,2024-05-17 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Wallbushings, Corona Shields Spare",DAP,SEK,1210378.17,36504.75,121037.82,1367920.74,SWEDEN,Gothenburg,Khalifa port,GOT36800118-002,EUGEN MAERSK,,MAERSK,Scan Global Logistics AB,C,3,,,1.0,,,,,,,,,,,,,,1.0,,,,2925.0,21.999907,21.999907,,2024-05-17,2024-05-17,2024-06-25,2024-06-25,2024-06-13,2024-06-24,2024-06-25,45468.0,47150.0,352730.0,370365.0,,,2025-06-13 00:00:00,,,2024-07-03,,,,2025-06-10,,,,,2024-07-03
154,HVDC-ADOPT-HE-0127-1,E01,PRL-DAS-005-O1-1 Lot 1,2024-05-17 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Wallbushings, Corona Shields",DAP,SEK,16541834.99,498898.26,1654183.5,18694916.75,SWEDEN,Gothenburg,Khalifa port,GOT36800118-001,EUGEN MAERSK,,MAERSK,Scan Global Logistics AB,C,41,,,3.0,,,,4.0,,,,,,,,,,7.0,,,,38750.0,285.30972,285.30972,,2024-05-17,2024-05-17,2024-06-25,2024-06-25,2024-06-13,2024-06-24,2024-06-25,45468.0,47150.0,,,,,2025-06-13 00:00:00,,,2024-07-04,,,,2025-06-10,,,,,2024-07-04
155,HVDC-ADOPT-HE-0153-1,E01,PRL-MIR-002-O Lot 6-1,2024-05-17 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,DAP,SEK,37431199.44,224545.95,3743119.94,41398865.33,SWEDEN,Gothenburg,Khalifa port,GOT36800117,EUGEN MAERSK,,MAERSK,Scan Global Logistics AB,C,18,,,6.0,,,,,,,,,,,,,,6.0,,,,90000.0,263.30432,263.30432,,2024-05-17,2024-05-17,2024-06-25,2024-06-25,2024-06-27,2024-06-24,2024-06-25,45469.0,47150.0,723506.0,759681.0,,,,,2024-07-01,,,,,,,,,,2024-07-01
156,HVDC-ADOPT-HE-0154-1,E01,PRL-MIR-002-O Lot 7-1,2024-05-17 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Bus bars, Side shields, Insulators, Pipes",DAP,SEK,14086026.0,151534.57,1408602.6,15646163.17,SWEDEN,Gothenburg,Khalifa port,GOT36800114,EUGEN MAERSK,,MAERSK,Scan Global Logistics AB,C,43,,,18.0,,,,,,,,,,,,,,18.0,,,,40905.0,427.959,427.959,,2024-05-17,2024-05-17,2024-06-25,2024-06-25,2024-06-13,2024-06-24,2024-06-25,45468.0,47150.0,275079.0,288832.0,,2024-07-16,,,,,,,,,,,,,2024-07-16
157,HVDC-ADOPT-HE-0155,E01,PRL-MIR-002-O Lot 8,2024-05-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,Layers,DAP,SEK,131009198.0,785910.83,13100919.8,144896028.7,SWEDEN,Gothenburg,Khalifa port,GOT36800125,ESTELLE Maersk,,MAERSK,Scan Global Logistics AB,C,63,,,21.0,,,,,,,,,,,,,,21.0,,,,315000.0,921.564,921.564,,2024-05-23,2024-05-23,2024-07-03,2024-07-03,2024-05-28,2024-07-03,2024-07-05,45478.0,47150.0,2532964.0,2659612.0,,,,,2024-07-15,,,,,,,,,,2024-07-15
158,HVDC-ADOPT-HE-0156,E01,PRL-MIR-002-O Lot 9,2024-05-23 00:00:00,4572116646,Hitachi,Elec,Main Converter,"Assembly Material, Studs, Poles, Routing",DAP,SEK,9172296.0,13062.46,917229.6,10102588.06,SWEDEN,Gothenburg,Khalifa port,GOT36800126,ESTELLE Maersk,,MAERSK,Scan Global Logistics AB,C,28,,,2.0,,,,,,,,,,,,,,2.0,,,,19068.0,53.297,53.297,,2024-05-23,2024-05-23,2024-07-03,2024-07-03,2024-07-08,2024-07-03,2024-07-05,45478.0,47150.0,176606.0,185436.0,,2027-07-23,,,,,,,,,,,,,2027-07-23
